Preço de abertura,Máximo do dia,Mínimo do dia,Preço de fechamento,Preço de fechamento ajustado,Volume negociado,Data,Ativo,Descrição,Código,Moeda
83.12,83.25,79.24,79.24,79.24,5553,2023-04-20 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
79.19,79.97,78.42,78.41,78.41,1587,2023-04-21 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
80.96,81.45,79.65,78.98,78.98,307,2023-04-24 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
76.22,76.22,76.22,77.0,77.0,6,2023-04-25 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
76.51,76.51,76.51,76.51,76.51,73,2023-04-26 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
78.63,78.63,78.63,78.63,78.63,0,2023-04-27 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
80.82,80.82,80.82,79.03,79.03,1,2023-04-28 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
79.54,79.54,79.54,79.54,79.54,0,2023-05-01 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
78.6,78.6,78.6,78.6,78.6,0,2023-05-02 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
76.99,76.99,76.99,76.99,76.99,0,2023-05-03 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
79.99,79.99,79.99,79.99,79.99,0,2023-05-04 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
83.5,83.5,83.5,82.13,82.13,40,2023-05-05 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
81.53,81.53,81.53,81.53,81.53,16344,2023-05-08 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
83.18,83.18,80.4,80.99,80.99,21699,2023-05-09 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
80.96,81.6,80.2,80.76,80.76,14457,2023-05-10 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
80.73,81.24,79.52,79.62,79.62,17793,2023-05-11 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
79.6,81.76,79.6,80.53,80.53,16110,2023-05-12 00:00:00,Algodão,Futuros do Algodão,CT=F,USD
