Preço de abertura,Máximo do dia,Mínimo do dia,Preço de fechamento,Preço de fechamento ajustado,Volume negociado,Data,Ativo,Descrição,Código,Moeda
24.26,25.37,24.19,25.25,25.25,37220,2023-04-20 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.62,25.62,24.67,24.83,24.83,39739,2023-04-21 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
24.77,25.99,24.6,25.91,25.91,46336,2023-04-24 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.9,26.87,25.59,26.65,26.65,31915,2023-04-25 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.7,27.07,26.37,26.51,26.51,24959,2023-04-26 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.41,27.41,26.27,26.99,26.99,11895,2023-04-27 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
27.0,27.05,26.5,26.99,26.99,70845,2023-04-28 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.39,26.48,25.43,25.54,25.54,59473,2023-05-01 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.5,26.06,25.07,25.14,25.14,78677,2023-05-02 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.08,25.44,24.88,25.17,25.17,63971,2023-05-03 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.17,25.66,24.95,25.52,25.52,46690,2023-05-04 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
25.6,26.45,25.59,26.32,26.32,62579,2023-05-05 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.42,26.48,26.01,26.09,26.09,43639,2023-05-08 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.06,26.43,25.93,26.19,26.19,57865,2023-05-09 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.17,26.74,26.01,26.66,26.66,60784,2023-05-10 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.62,26.74,25.99,26.02,26.02,81277,2023-05-11 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.07,26.39,26.0,26.22,26.22,49255,2023-05-12 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.3,26.43,25.83,26.29,26.29,48365,2023-05-15 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
26.26,26.63,26.01,26.07,26.07,50894,2023-05-16 00:00:00,Açúcar,Futuros do Açúcar,SB=F,USD
