Preço de abertura,Máximo do dia,Mínimo do dia,Preço de fechamento,Preço de fechamento ajustado,Volume negociado,Data,Ativo,Descrição,Código,Moeda
3079.0,3103.0,3057.0,3087.0,3087.0,8693,2023-04-20 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3103.0,3221.0,3074.0,3171.0,3171.0,3086,2023-04-21 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3207.0,3209.0,3152.0,3203.0,3203.0,107,2023-04-24 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3200.0,3200.0,3117.0,3149.0,3149.0,41,2023-04-25 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3165.0,3189.0,3164.0,3176.0,3176.0,18,2023-04-26 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3171.0,3171.0,3171.0,3150.0,3150.0,7,2023-04-27 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3137.0,3178.0,3137.0,3174.0,3174.0,13,2023-04-28 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3200.0,3200.0,3200.0,3171.0,3171.0,24,2023-05-01 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3125.0,3125.0,3125.0,3130.0,3130.0,8,2023-05-02 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3100.0,3101.0,2988.0,3014.0,3014.0,36,2023-05-03 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3052.0,3052.0,3052.0,3052.0,3052.0,0,2023-05-04 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3109.0,3109.0,3109.0,3109.0,3109.0,0,2023-05-05 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3188.0,3195.0,3178.0,3179.0,3179.0,4,2023-05-08 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3235.0,3242.0,3235.0,3229.0,3229.0,10,2023-05-09 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3269.0,3277.0,3263.0,3260.0,3260.0,11,2023-05-10 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3269.0,3269.0,3200.0,3242.0,3242.0,8,2023-05-11 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3244.0,3279.0,3244.0,3226.0,3226.0,49,2023-05-12 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3160.0,3160.0,3160.0,3160.0,3160.0,21300,2023-05-15 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
2980.0,3008.0,2974.0,2995.0,2995.0,19384,2023-05-16 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
2989.0,3012.0,2968.0,3000.0,3000.0,14464,2023-05-17 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3000.0,3030.0,2985.0,2991.0,2991.0,21182,2023-05-18 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
2988.0,3074.0,2971.0,3068.0,3068.0,31231,2023-05-19 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3074.0,3079.0,3019.0,3023.0,3023.0,24531,2023-05-22 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3021.0,3049.0,3009.0,3016.0,3016.0,16988,2023-05-23 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3010.0,3034.0,2985.0,3010.0,3010.0,19258,2023-05-24 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3008.0,3028.0,2992.0,3017.0,3017.0,16176,2023-05-25 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3017.0,3038.0,2988.0,2991.0,2991.0,0,2023-05-26 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
2991.0,3028.0,2991.0,3005.0,3005.0,19322,2023-05-30 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3000.0,3031.0,2993.0,3007.0,3007.0,26454,2023-05-31 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3017.0,3047.0,3002.0,3008.0,3008.0,34422,2023-06-01 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3003.0,3034.0,2991.0,3026.0,3026.0,25530,2023-06-02 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3020.0,3065.0,3002.0,3056.0,3056.0,28784,2023-06-05 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3063.0,3096.0,3040.0,3045.0,3045.0,52105,2023-06-06 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3038.0,3109.0,3028.0,3103.0,3103.0,43640,2023-06-07 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3104.0,3169.0,3090.0,3149.0,3149.0,26981,2023-06-08 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3162.0,3182.0,3142.0,3180.0,3180.0,27194,2023-06-09 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3170.0,3188.0,3129.0,3136.0,3136.0,17951,2023-06-12 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3141.0,3261.0,3141.0,3186.0,3186.0,20201,2023-06-13 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3182.0,3225.0,3142.0,3189.0,3189.0,22385,2023-06-14 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3200.0,3236.0,3164.0,3226.0,3226.0,7851,2023-06-15 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3218.0,3228.0,3171.0,3188.0,3188.0,0,2023-06-16 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3192.0,3192.0,3129.0,3142.0,3142.0,12149,2023-06-20 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3131.0,3182.0,3104.0,3164.0,3164.0,4001,2023-06-21 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3157.0,3166.0,3128.0,3138.0,3138.0,1663,2023-06-22 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3122.0,3147.0,3109.0,3123.0,3123.0,2119,2023-06-23 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3150.0,3233.0,3150.0,3206.0,3206.0,21,2023-06-26 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3217.0,3217.0,3209.0,3212.0,3212.0,11,2023-06-27 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3242.0,3258.0,3237.0,3292.0,3292.0,19,2023-06-28 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3253.0,3253.0,3253.0,3218.0,3218.0,3,2023-06-29 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3324.0,3324.0,3324.0,3318.0,3318.0,2,2023-06-30 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3306.0,3306.0,3306.0,3364.0,3364.0,1,2023-07-03 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3341.0,3356.0,3323.0,3334.0,3334.0,42,2023-07-05 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3277.0,3277.0,3277.0,3277.0,3277.0,0,2023-07-06 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3290.0,3290.0,3290.0,3274.0,3274.0,3,2023-07-07 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3309.0,3309.0,3290.0,3299.0,3299.0,2,2023-07-10 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3296.0,3296.0,3296.0,3296.0,3296.0,0,2023-07-11 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3293.0,3305.0,3293.0,3299.0,3299.0,19,2023-07-12 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3268.0,3268.0,3230.0,3232.0,3232.0,8,2023-07-13 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3307.0,3307.0,3307.0,3307.0,3307.0,35464,2023-07-14 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3351.0,3374.0,3323.0,3359.0,3359.0,18464,2023-07-17 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
3371.0,3429.0,3343.0,3407.0,3407.0,23093,2023-07-18 00:00:00,Cacau,Futuros do Cacau,CC=F,USD
