Preço de abertura,Máximo do dia,Mínimo do dia,Preço de fechamento,Preço de fechamento ajustado,Volume negociado,Data,Ativo,Descrição,Código,Moeda
199.2,199.65,194.75,195.9,195.9,230,2023-04-20 00:00:00,Café,Futuros do Café,KC=F,USD
197.15,197.15,193.5,194.2,194.2,81,2023-04-21 00:00:00,Café,Futuros do Café,KC=F,USD
196.35,196.85,195.0,196.75,196.75,10,2023-04-24 00:00:00,Café,Futuros do Café,KC=F,USD
191.0,192.25,191.0,192.45,192.45,13,2023-04-25 00:00:00,Café,Futuros do Café,KC=F,USD
194.15,195.85,194.15,195.85,195.85,12,2023-04-26 00:00:00,Café,Futuros do Café,KC=F,USD
192.8,192.8,192.1,192.1,192.1,16,2023-04-27 00:00:00,Café,Futuros do Café,KC=F,USD
189.5,190.35,189.1,189.85,189.85,40,2023-04-28 00:00:00,Café,Futuros do Café,KC=F,USD
188.25,188.25,187.1,189.25,189.25,13,2023-05-01 00:00:00,Café,Futuros do Café,KC=F,USD
188.1,188.75,187.9,190.65,190.65,22,2023-05-02 00:00:00,Café,Futuros do Café,KC=F,USD
188.1,188.1,185.85,189.2,189.2,138,2023-05-03 00:00:00,Café,Futuros do Café,KC=F,USD
188.0,188.0,184.5,186.4,186.4,137,2023-05-04 00:00:00,Café,Futuros do Café,KC=F,USD
191.0,191.0,191.0,191.0,191.0,1,2023-05-05 00:00:00,Café,Futuros do Café,KC=F,USD
186.9,186.9,186.9,186.9,186.9,1,2023-05-08 00:00:00,Café,Futuros do Café,KC=F,USD
187.7,189.3,184.55,188.0,188.0,17,2023-05-09 00:00:00,Café,Futuros do Café,KC=F,USD
189.3,189.3,189.3,187.45,187.45,1,2023-05-10 00:00:00,Café,Futuros do Café,KC=F,USD
186.0,186.1,185.5,185.8,185.8,10,2023-05-11 00:00:00,Café,Futuros do Café,KC=F,USD
185.0,186.75,185.0,186.0,186.0,34,2023-05-12 00:00:00,Café,Futuros do Café,KC=F,USD
192.45,192.45,192.45,193.05,193.05,7,2023-05-15 00:00:00,Café,Futuros do Café,KC=F,USD
196.0,196.55,196.0,190.35,190.35,5,2023-05-16 00:00:00,Café,Futuros do Café,KC=F,USD
189.5,189.5,189.5,189.85,189.85,3,2023-05-17 00:00:00,Café,Futuros do Café,KC=F,USD
190.45,190.45,190.45,190.45,190.45,12733,2023-05-18 00:00:00,Café,Futuros do Café,KC=F,USD
186.2,194.4,186.2,192.0,192.0,23734,2023-05-19 00:00:00,Café,Futuros do Café,KC=F,USD
191.0,193.75,186.55,189.2,189.2,22894,2023-05-22 00:00:00,Café,Futuros do Café,KC=F,USD
189.25,190.3,185.7,187.45,187.45,16809,2023-05-23 00:00:00,Café,Futuros do Café,KC=F,USD
188.05,189.4,186.6,188.0,188.0,13608,2023-05-24 00:00:00,Café,Futuros do Café,KC=F,USD
188.2,188.4,181.65,182.7,182.7,24475,2023-05-25 00:00:00,Café,Futuros do Café,KC=F,USD
182.8,184.8,180.3,181.6,181.6,0,2023-05-26 00:00:00,Café,Futuros do Café,KC=F,USD
180.05,181.75,175.9,177.1,177.1,27463,2023-05-30 00:00:00,Café,Futuros do Café,KC=F,USD
177.15,179.8,175.55,178.65,178.65,24936,2023-05-31 00:00:00,Café,Futuros do Café,KC=F,USD
179.65,184.7,179.5,183.05,183.05,22533,2023-06-01 00:00:00,Café,Futuros do Café,KC=F,USD
183.3,187.8,179.05,180.3,180.3,27027,2023-06-02 00:00:00,Café,Futuros do Café,KC=F,USD
179.95,183.7,179.35,183.1,183.1,18231,2023-06-05 00:00:00,Café,Futuros do Café,KC=F,USD
183.1,184.9,181.55,182.6,182.6,19024,2023-06-06 00:00:00,Café,Futuros do Café,KC=F,USD
183.6,186.6,182.65,185.4,185.4,28687,2023-06-07 00:00:00,Café,Futuros do Café,KC=F,USD
186.2,196.15,184.6,194.85,194.85,34152,2023-06-08 00:00:00,Café,Futuros do Café,KC=F,USD
196.6,196.6,188.8,190.65,190.65,38480,2023-06-09 00:00:00,Café,Futuros do Café,KC=F,USD
190.25,192.4,185.05,185.55,185.55,18584,2023-06-12 00:00:00,Café,Futuros do Café,KC=F,USD
185.7,186.75,181.9,182.75,182.75,12746,2023-06-13 00:00:00,Café,Futuros do Café,KC=F,USD
182.55,184.75,181.25,184.4,184.4,7870,2023-06-14 00:00:00,Café,Futuros do Café,KC=F,USD
184.75,188.05,184.7,187.0,187.0,9257,2023-06-15 00:00:00,Café,Futuros do Café,KC=F,USD
187.7,188.3,184.3,184.9,184.9,0,2023-06-16 00:00:00,Café,Futuros do Café,KC=F,USD
185.1,185.75,176.4,177.45,177.45,11003,2023-06-20 00:00:00,Café,Futuros do Café,KC=F,USD
178.9,178.95,168.95,172.0,172.0,2928,2023-06-21 00:00:00,Café,Futuros do Café,KC=F,USD
173.7,173.95,169.6,171.7,171.7,66,2023-06-22 00:00:00,Café,Futuros do Café,KC=F,USD
167.9,168.9,166.5,168.05,168.05,112,2023-06-23 00:00:00,Café,Futuros do Café,KC=F,USD
168.0,169.15,166.5,167.95,167.95,16,2023-06-26 00:00:00,Café,Futuros do Café,KC=F,USD
168.35,169.35,165.55,169.45,169.45,16,2023-06-27 00:00:00,Café,Futuros do Café,KC=F,USD
170.45,170.8,165.0,165.65,165.65,45,2023-06-28 00:00:00,Café,Futuros do Café,KC=F,USD
165.0,165.55,162.1,163.6,163.6,10,2023-06-29 00:00:00,Café,Futuros do Café,KC=F,USD
165.9,165.9,165.75,161.0,161.0,4,2023-06-30 00:00:00,Café,Futuros do Café,KC=F,USD
165.2,165.2,165.2,162.5,162.5,1,2023-07-03 00:00:00,Café,Futuros do Café,KC=F,USD
162.25,162.25,162.25,161.05,161.05,10,2023-07-05 00:00:00,Café,Futuros do Café,KC=F,USD
159.95,165.3,159.25,162.35,162.35,49,2023-07-06 00:00:00,Café,Futuros do Café,KC=F,USD
165.0,165.0,165.0,162.8,162.8,1,2023-07-07 00:00:00,Café,Futuros do Café,KC=F,USD
163.55,163.65,163.55,161.75,161.75,2,2023-07-10 00:00:00,Café,Futuros do Café,KC=F,USD
159.15,159.5,158.0,159.3,159.3,49,2023-07-11 00:00:00,Café,Futuros do Café,KC=F,USD
158.75,158.75,158.75,158.75,158.75,0,2023-07-12 00:00:00,Café,Futuros do Café,KC=F,USD
160.7,160.7,160.7,159.35,159.35,1,2023-07-13 00:00:00,Café,Futuros do Café,KC=F,USD
162.45,162.45,161.75,161.95,161.95,82,2023-07-14 00:00:00,Café,Futuros do Café,KC=F,USD
158.05,158.05,155.5,154.75,154.75,2,2023-07-17 00:00:00,Café,Futuros do Café,KC=F,USD
155.25,155.25,155.25,155.25,155.25,0,2023-07-18 00:00:00,Café,Futuros do Café,KC=F,USD
152.35,152.4,152.3,152.45,152.45,16087,2023-07-19 00:00:00,Café,Futuros do Café,KC=F,USD
155.5,160.0,155.25,158.05,158.05,19005,2023-07-20 00:00:00,Café,Futuros do Café,KC=F,USD
158.55,162.1,156.5,161.85,161.85,18695,2023-07-21 00:00:00,Café,Futuros do Café,KC=F,USD
161.15,165.45,161.05,163.0,163.0,20332,2023-07-24 00:00:00,Café,Futuros do Café,KC=F,USD
162.4,163.85,161.3,161.85,161.85,15908,2023-07-25 00:00:00,Café,Futuros do Café,KC=F,USD
161.3,163.85,159.25,163.15,163.15,15696,2023-07-26 00:00:00,Café,Futuros do Café,KC=F,USD
164.4,164.9,160.05,161.45,161.45,16873,2023-07-27 00:00:00,Café,Futuros do Café,KC=F,USD
161.3,161.9,157.35,157.9,157.9,14783,2023-07-28 00:00:00,Café,Futuros do Café,KC=F,USD
157.9,166.0,157.9,164.65,164.65,23117,2023-07-31 00:00:00,Café,Futuros do Café,KC=F,USD
165.1,167.4,162.05,164.55,164.55,20153,2023-08-01 00:00:00,Café,Futuros do Café,KC=F,USD
164.55,167.95,162.75,166.95,166.95,22311,2023-08-02 00:00:00,Café,Futuros do Café,KC=F,USD
166.35,168.3,164.0,164.75,164.75,17790,2023-08-03 00:00:00,Café,Futuros do Café,KC=F,USD
164.0,165.0,161.0,161.35,161.35,20244,2023-08-04 00:00:00,Café,Futuros do Café,KC=F,USD
161.15,164.9,160.05,163.95,163.95,27408,2023-08-07 00:00:00,Café,Futuros do Café,KC=F,USD
162.15,162.9,159.55,161.35,161.35,25992,2023-08-08 00:00:00,Café,Futuros do Café,KC=F,USD
161.85,162.4,160.0,160.75,160.75,26488,2023-08-09 00:00:00,Café,Futuros do Café,KC=F,USD
160.55,163.6,159.2,159.9,159.9,28310,2023-08-10 00:00:00,Café,Futuros do Café,KC=F,USD
159.05,159.45,156.0,157.8,157.8,27615,2023-08-11 00:00:00,Café,Futuros do Café,KC=F,USD
157.5,158.3,150.7,151.1,151.1,21142,2023-08-14 00:00:00,Café,Futuros do Café,KC=F,USD
150.85,151.3,148.0,149.25,149.25,11857,2023-08-15 00:00:00,Café,Futuros do Café,KC=F,USD
149.75,150.75,147.75,148.9,148.9,8371,2023-08-16 00:00:00,Café,Futuros do Café,KC=F,USD
148.95,150.05,145.8,147.0,147.0,4999,2023-08-17 00:00:00,Café,Futuros do Café,KC=F,USD
146.95,149.4,145.05,147.45,147.45,4867,2023-08-18 00:00:00,Café,Futuros do Café,KC=F,USD
147.6,151.8,147.15,147.55,147.55,6154,2023-08-21 00:00:00,Café,Futuros do Café,KC=F,USD
147.9,150.4,146.1,146.6,146.6,4495,2023-08-22 00:00:00,Café,Futuros do Café,KC=F,USD
148.65,152.85,148.1,152.95,152.95,1085,2023-08-23 00:00:00,Café,Futuros do Café,KC=F,USD
153.8,154.25,151.4,153.0,153.0,52,2023-08-24 00:00:00,Café,Futuros do Café,KC=F,USD
154.0,154.0,154.0,151.75,151.75,3,2023-08-25 00:00:00,Café,Futuros do Café,KC=F,USD
152.95,153.25,152.5,151.8,151.8,8,2023-08-28 00:00:00,Café,Futuros do Café,KC=F,USD
